n_smr,n_ccgt,n_ocgt,n_engine,mw,firm_mw,capex_mpln,npv_merchant_mpln,npv_with_cap_payment_mpln,net_cost_per_firm_mw_mpln,energy_twh_life,co2_mt_life
0,0,1,2,444.0,414.16319999999996,1722.6,-1457.9820276023445,-1457.9820276023445,3.5203080032275795,5.9830962,2.8405814613314497
0,0,1,1,372.0,347.00159999999994,1423.8,-1233.7595947105674,-1233.7595947105674,3.5554867606102323,4.4605806,2.1999035736657255
0,1,0,2,444.0,413.7732,2562.6,-2185.9311243258044,-2185.9311243258044,5.28292099228709,16.5991857,6.405212069191048
0,1,0,1,372.0,346.61159999999995,2263.8,-1961.708691434027,-1961.708691434027,5.659674088905355,15.0766701,5.764534181525324
1,0,0,2,444.0,415.8132,13172.6,-6443.050150011016,-6443.050150011016,15.49505919968634,150.8059512,1.2813557753314484
1,0,0,1,372.0,348.65160000000003,12873.8,-6218.8277171192385,-6218.8277171192385,17.836796725210032,149.2834356,0.6406778876657242
1,0,0,0,300.0,281.49,12575.0,-5994.605284227461,-5994.605284227461,21.295979552479523,147.76092,0.0
