n_smr,n_ccgt,n_ocgt,n_engine,mw,firm_mw,capex_mpln,npv_merchant_mpln,npv_with_cap_payment_mpln,net_cost_per_firm_mw_mpln,energy_twh_life,co2_mt_life
0,0,1,2,444.0,414.16319999999996,2615.4,-2038.9813535186863,-2038.9813535186863,4.923135019042461,6.483312384,2.9020608173749025
0,0,1,1,372.0,347.00159999999994,2230.2,-1777.3306237241586,-1777.3306237241586,5.121966652961136,5.031597192,2.3153513134548938
0,1,0,2,444.0,413.7732,3425.4,-2835.8159084760746,-2835.8159084760746,6.8535514346411865,17.087880384,6.3133513505066094
0,1,0,1,372.0,346.61159999999995,3040.2,-2574.1651786815473,-2574.1651786815473,7.42665617273498,15.636165192,5.726641846586601
1,0,0,2,444.0,415.8132,19070.4,-11585.034304294491,-11585.034304294491,27.86115088288321,146.383950384,1.1734190078400175
1,0,0,1,372.0,348.65160000000003,18685.2,-11323.383574499965,-11323.383574499965,32.4776469532908,144.932235192,0.5867095039200088
1,0,0,0,300.0,281.49,18300.0,-11061.732844705437,-11061.732844705437,39.29707216848001,143.48052,0.0
