n_smr,n_ccgt,n_ocgt,n_engine,mw,firm_mw,capex_mpln,npv_merchant_mpln,npv_with_cap_payment_mpln,net_cost_per_firm_mw_mpln,energy_twh_life,co2_mt_life
0,0,1,1,372.0,347.00159999999994,924.6,-922.9762794343577,-922.9762794343577,2.659861739641425,3.600558612,1.9091048898314353
0,0,1,2,444.0,414.16319999999996,1144.2,-1119.504110854614,-1119.504110854614,2.7030506593888934,4.855703724,2.472428583305727
0,1,0,2,444.0,413.7732,1984.2,-1921.0626643249523,-1921.0626643249523,4.642791423719449,14.692960224,5.8617454654940175
0,1,0,1,372.0,346.61159999999995,1764.6,-1724.534832904696,-1724.534832904696,4.975410035049884,13.437815112,5.298421772019726
1,0,0,3,501.0,468.9003,9448.8,-3694.8024994904295,-3694.8024994904295,7.879718779216881,146.31041973599997,1.6899710804228758
1,0,0,2,429.0,401.7387,9229.2,-3498.274668070173,-3498.274668070173,8.70783588454429,145.05527462399996,1.1266473869485838
1,0,0,1,357.0,334.5771,9009.6,-3301.746836649917,-3301.746836649917,9.868418480075048,143.80012951199998,0.5633236934742919
