ym,mean,std,min,max,neg_hours,hours
2019-01,246.94338908661283,58.2123020037048,5.016063681221487,470.7186656094774,0,744
2019-02,213.55953911483115,39.88093447005788,71.4898690321382,295.7514654063034,0,672
2019-03,200.15673272438815,38.45839309477555,69.16599413980745,282.37372778863147,0,743
2019-04,228.0929536859677,40.828210111915986,104.12341405375138,345.69559727599244,0,720
2019-05,238.01360906842893,41.0872955283234,93.1391179906542,356.39861124013004,0,744
2019-06,248.89241720860835,55.30015880138575,116.54477500352658,489.98636985174903,0,720
2019-07,240.6013994871935,45.61288360528392,100.07056938914934,344.0545568378265,0,744
2019-08,267.4660156353152,33.49266125990284,154.2137461100482,340.948845065279,0,744
2019-09,243.90031287695047,37.70716068588365,115.85511838697742,345.86114608739257,0,720
2019-10,228.757606784342,41.41707051025525,112.26262026468736,327.451697947688,0,745
2019-11,215.8165733457598,37.56045355621796,92.17735982132363,376.6552863467079,0,720
2019-12,190.39289465994622,45.7829351422498,44.927175,302.6166,0,744
2020-01,187.58981590994622,42.8042346624457,83.27778699999999,301.644804,0,744
2020-02,174.99207405747126,50.989521979422435,49.93985000000001,294.579554,0,696
2020-03,163.2742336742934,44.66181761295755,49.680901999999996,285.307008,0,743
2020-04,151.29800520833334,29.95984602679017,59.856944,279.844152,0,720
2020-05,174.45866826209678,29.397087287022792,69.86971,259.57800000000003,0,744
2020-06,215.04373399166667,34.94323841284586,115.00350399999999,318.869024,0,720
2020-07,218.0676160685484,24.742891017081533,150.70367199999998,300.76984300000004,0,744
2020-08,230.12390274596774,38.028590331636586,157.30108799999996,339.26480399999997,0,744
2020-09,240.47333145277778,43.34959887398402,163.23380999999998,471.8336,0,720
2020-10,236.95252965369127,44.462389290732354,121.624915,401.47967600000004,0,745
2020-11,240.99337600972225,54.50657928869205,69.36902,663.7619100000001,0,720
2020-12,253.46591102956992,68.95717399777159,51.296696999999995,447.75926,0,744
2021-01,248.77231555510753,48.41554364352241,129.722028,423.64566,0,744
2021-02,264.8623469985119,51.441507743199104,174.06486,401.78414899999996,0,672
2021-03,274.3404096137281,49.41165620895274,135.443466,463.02356100000003,0,743
2021-04,270.8063335597222,51.27973870938287,56.03826,380.17372800000004,0,720
2021-05,297.291908047043,46.9839142780584,159.960564,457.3654159999999,0,744
2021-06,343.1107326736111,62.03673566546315,78.62303399999999,538.4223999999999,0,720
2021-07,375.8932679543011,46.85033248035933,248.86368,522.917717,0,744
2021-08,376.18856427419354,57.86701060323514,246.307166,544.210416,0,744
2021-09,467.11767139722224,93.43065807386294,266.50955500000003,968.507664,0,720
2021-10,474.30069675436243,153.50793263684588,227.775478,1200.1630059999998,0,745
2021-11,547.9768656569444,182.50397765334898,111.10878,1192.697469,0,720
2021-12,828.6876882325269,419.37401608475085,197.753512,2447.23248,0,744
