parameter,npv_low_case,npv_high_case,npv_base,swing
Electricity price path,-2195.7338115825787,-493.94566370553343,-1733.940519998076,1701.7881478770453
CCGT capex,-1324.578873630182,-2406.4632247453296,-1733.940519998076,1081.8843511151476
EUA price path,-1063.3448988320115,-2021.160805612846,-1733.940519998076,957.8159067808344
Gas price path,-1416.083882433081,-2003.4805134762173,-1733.940519998076,587.3966310431363
CCGT efficiency,-1812.9537373139824,-1597.3281894024265,-1733.940519998076,215.62554791155594
CCGT fixed O&M,-1642.7752542469532,-1825.1057857491987,-1733.940519998076,182.33053150224555
Gas WACC (real),-1747.9502118583869,-1715.2161438334488,-1733.940519998076,32.7340680249381
