draw,capex_mult,delay_years,price_mult,gas_mult,eua_mult,cf_adj,wacc_adj,fom_mult,npv_S1a_smr_cfd,lcoe_S1a_smr_cfd,irr_S1a_smr_cfd,npv_S2_smr_dynamic,lcoe_S2_smr_dynamic,irr_S2_smr_dynamic,npv_S3a_gas_ccgt,lcoe_S3a_gas_ccgt,irr_S3a_gas_ccgt,npv_S3b_gas_ocgt,lcoe_S3b_gas_ocgt,irr_S3b_gas_ocgt
0,1.157243530831623,1.333283384609312,0.9332940144677414,0.9777674532765567,1.0358407681512025,0.004251438339915564,0.007753857465471236,0.9225428907420637,-2604.3981279493923,590.8962282204968,0.044041578440037685,-8318.448865705832,773.6403883045646,0.016804672448808056,-2024.08654117996,1297.6046327621978,,-1143.2678433598883,2394.883921004705,
1,0.9105772176656077,0.8278409572324643,1.0711463247230932,1.0718110774815508,1.116280317460016,-0.012130940739768857,-0.002725876241713482,0.8792151157862684,1784.7282523968065,450.75323468259114,0.056517403189709076,-4223.75140988918,587.3759297326011,0.03638343185660819,-1608.1499029636716,1010.7958331765274,,-932.8796428603082,1920.1303906536646,
2,1.3051025352271264,0.8378981923884682,0.8656760704607672,1.0605046409821517,1.0991787231916366,-0.007914406587504377,0.0060130275117066655,1.1352380698648021,-4477.147086703925,649.1833217116688,0.03429563029063608,-10617.527140790417,854.969805063615,0.0032907244182964696,-2402.1816383955024,2578.902760506088,,-1341.9872289372738,3735.824396573737,
3,0.9962637877778935,1.9849641501870847,1.0637882193321353,0.9273739950580521,1.1239956371202844,-0.008129424436182635,0.0056795337136899705,0.891019190484135,-949.8676367975778,536.7903439317959,0.050386634660129666,-5695.493302485467,704.7238269277788,0.03120296423632028,-1521.10960724298,878.446945817715,,-930.0036844158258,1720.3540172283047,
4,0.917311446565281,1.2044922604233348,0.8198088455932053,1.0980499061752278,1.1350099342797837,-0.013852844139923833,0.011154540383484422,1.260527932189914,-1627.3556557339796,561.2480629963737,0.05015384122210009,-7449.997685247421,719.9997683044201,0.008584551515733454,-2116.538961923318,3397.735942314707,,-1191.6880958317427,4491.430489544808,
5,1.0581059080953223,0.26682705721157984,0.8273324487933202,0.9305070458917097,0.8371720441629215,-0.0036307243888602236,0.00016374813147441644,0.9876542908738237,-392.8965768064256,506.3923144012236,0.048139995029933436,-8201.609155731028,659.247503384967,0.010086163601821395,-2041.3470746296703,1197.7380656723165,,-1137.0681248786714,2201.748441790169,
6,0.8161095015522841,1.622528843302388,0.91310004766708,1.1340706368383144,1.0949742675042782,-0.004449680835528824,-0.0006602567998480365,1.0095832727663319,1608.9916153127842,445.91794337317344,0.058873065370939226,-4936.224843628203,580.5196584420775,0.02622700537020279,-1930.3192187117272,1977.953645398223,,-1064.5418097879417,2995.2503479524385,
7,1.0641151013462564,1.5345345710556642,0.9967393596479277,1.3303964119655036,1.0630125873547334,-0.0055234888329863605,0.0036159953089975414,1.4499075585638934,-2340.431601309659,583.5443777458003,0.041067566944269135,-7493.571453627842,760.7837281683882,0.01653244963832738,-2223.177887851819,2154.1890032271726,,-1245.025966901939,3311.5085183173505,
8,0.9148023578233644,0.683816028169642,0.9207445672093316,1.1252568286294617,0.9462098762628557,-0.03549253251476141,0.0062199256009265996,1.0516506309118685,-740.4809056178159,526.1976506692323,0.051640055970565875,-6401.381183400239,679.8285621559987,0.020285870289409362,-1923.7757396337795,1524.221371080821,,-1074.4573650977688,2541.628226001624,
9,1.2984487516466559,1.157923917215478,1.110180988664173,0.9046520333184348,1.0490678001876066,-0.023644460870168978,-0.001915535430420643,1.07182203472615,-2929.3235066433544,589.85195816921,0.035993415235853844,-8247.62654333664,781.3808114197318,0.021002951345448606,-1444.0451731311896,747.6368871427898,,-986.8576982376447,1417.8461962408844,
10,0.9900785905238847,1.387995622309018,1.122202807413953,1.0048336061454757,0.9438638264759291,0.010477383022714913,0.004070127272328727,1.00812704640783,-270.2562630739818,514.2715901933769,0.05261314014936584,-5098.046126509434,666.3748669219337,0.03615878348602538,-1134.6945979375166,721.3024476878139,,-812.5535821047323,1347.7311653217425,
11,1.0842384614994833,1.0188917787627962,0.8385821566788668,1.1760370797794986,1.0086571810905776,0.006075512929349769,0.0071480764052860735,1.2381924133901054,-2429.527666047706,582.1814216436202,0.04344383650018922,-8743.256988178913,756.4045308145264,0.00648920273976047,-2264.3157322402644,3065.271735356201,,-1267.1271369020342,4114.215626974801,
12,1.1226982176731362,0.19046823166698418,1.0088851282886224,1.1364855984544469,1.0040603288823238,-0.008956569462748934,-0.0025517463034608733,0.9721111693537303,-343.69392347522256,510.61936119325003,0.04587480404191346,-7057.580759720003,666.7861188320477,0.022698491169270193,-1978.5437858541347,1207.7339265469523,,-1113.0868788635364,2247.339221147797,
