,count,mean,std,min,5%,25%,50%,75%,95%,max,p_npv_positive
npv_S1a_smr_cfd,300.0,-1140.3160982822048,1745.7871687195234,-6089.453257581819,-4030.327234107624,-2245.310603358761,-1171.9082086248825,97.06348022673853,1609.0684061752838,3820.518576387428,0.2733333333333333
npv_S2_smr_dynamic,300.0,-6799.540700373754,1682.1467389675258,-11055.949505824648,-9606.558973636565,-7890.437483368336,-6764.8752804163305,-5638.005731687659,-4091.8034206593866,-2833.1262915525217,0.0
npv_S3a_gas_ccgt,300.0,-1723.7815561314987,452.98841742563974,-2452.3987454890776,-2264.362471625767,-2070.33233704948,-1829.6323207774935,-1502.3106071850748,-760.349202662457,-488.81793405887413,0.0
npv_S3b_gas_ocgt,300.0,-1034.8509956974915,173.64786851412484,-1368.4775895359444,-1267.5257751736767,-1170.9964407258437,-1057.5884465037254,-937.749949996184,-685.8538858045679,-559.0498946973532,0.0
